url,season,round,result,form,rest,lag_accuracy,lag_accuracy_conceeded,lag_c_marks_per_i50,lag_contested_marks,lag_contested_possessions,lag_disp_per_score,lag_goal_Assists_per_score_shot,lag_i50_conceeded,lag_kick_to_handball,lag_r50_per_i50,lag_score,lag_score_conceeded,lag_score_per_i50,lag_uncontested_possessions,venue,elo_before_game,percentage
http://afltables.com/afl/stats/games/2003/010820030330.html,2003,1,1,0.19999999999999996,-20.0,-0.0056482114376850134,0.06176585350059849,-0.08868081675646783,-3.0,-4.0,0.5076110731373884,0.0,-7.0,0.22373388517832948,0.004426440546096866,1.0,4.599999999999994,-0.059942686843265536,-10.800000000000011,10.499999999999998,112,-0.03841118506525942
http://afltables.com/afl/stats/games/2003/031620030329.html,2003,1,1,0.6000000000000001,1.0,0.14556885533042607,0.06576021223536432,0.05361120805672048,3.4000000000000004,3.0,-7.942510257391046,0.0,0.20000000000000284,-0.024485884027005023,0.01622584653924042,55.800000000000004,-9.0,0.10761630523377325,5.199999999999989,3.8,138,0.7014379307410875
http://afltables.com/afl/stats/games/2003/041420030328.html,2003,1,1,0.0,-28.0,-0.00380319687340569,-0.025795758989951345,-0.010227357454096808,-8.200000000000001,-3.6000000000000085,1.1056318949867308,0.0,3.799999999999997,0.4246227349035654,0.04557652519164457,-12.0,-10.0,-0.08003319249429436,-14.0,3.8000000000000007,78,-0.02125340300943801
http://afltables.com/afl/stats/games/2003/051920030329.html,2003,1,1,0.0,-14.0,0.060052910052910136,0.010733495950214222,-0.018852290803994004,-0.40000000000000036,-8.0,-1.4097883597883598,0.0,-1.8000000000000043,0.27614814203683014,-0.01870752229654249,8.400000000000006,-2.6000000000000085,0.006360182046916463,-28.599999999999994,37.800000000000004,149,0.18609022556391008
http://afltables.com/afl/stats/games/2003/070920030330.html,2003,1,1,0.2,0.0,0.01962834633867805,-0.020919785973201543,0.02967484821503158,3.2,-12.200000000000003,-4.818951671344784,0.0,-0.6000000000000014,-0.1670754253250022,0.06532598594102279,35.400000000000006,-9.400000000000006,0.09567154159147079,31.0,4.3999999999999995,57,0.4453965053763441
http://afltables.com/afl/stats/games/2003/101120030330.html,2003,1,1,0.19999999999999996,-15.0,0.07003611984929381,0.0943825803825803,0.08507894321644624,1.8000000000000007,0.19999999999998863,-2.7054039194340227,0.0,5.200000000000003,0.03847121752489535,-0.03985252100524406,27.60000000000001,18.799999999999997,0.0919894874365752,4.599999999999994,0.40000000000000036,23,0.1011329755515803
http://afltables.com/afl/stats/games/2003/121520030329.html,2003,1,1,0.4,-8.0,-0.013476814776270274,0.06174900368448755,-0.03021728775367591,-0.7999999999999989,12.0,-4.510893122203468,0.0,5.599999999999994,0.35211940808283804,0.02497063283158374,21.400000000000006,21.0,0.10770277670816752,-49.20000000000002,-16.3,63,0.029040980086951884
http://afltables.com/afl/stats/games/2003/131820030329.html,2003,1,1,-0.39999999999999997,14.0,0.1060651629072682,-0.0718840954703025,-0.028240698641212675,-1.4000000000000004,-4.599999999999994,1.2531590339485081,0.0,10.199999999999996,-0.23241648608861776,-0.06118181388290622,4.800000000000011,24.599999999999994,-0.02191003946197778,-3.0,55.6,-133,-0.17175320852466713
http://afltables.com/afl/stats/games/2003/011520030405.html,2003,2,1,-0.6,2.0,0.03932644857722245,-0.01215047330836816,0.029523878238163936,3.4000000000000004,-9.400000000000006,1.8203131770190595,-0.047058823529411764,6.799999999999997,-0.12571076655927382,0.002942521357103378,-13.0,2.0,-0.029027691884834728,24.599999999999994,6.7,-147,-0.15392924079220938
http://afltables.com/afl/stats/games/2003/030420030404.html,2003,2,0,-0.39999999999999997,-1.0,0.017943533690202185,0.029577639751552698,-0.036574118095634434,1.799999999999999,0.7999999999999972,4.6321836365177305,-0.04589473684210526,-0.7999999999999972,-0.3721967028490145,-0.08768628877164653,-16.200000000000003,17.39999999999999,-0.11793903355164126,0.6000000000000227,3.0,-143,-0.3519671580746573
http://afltables.com/afl/stats/games/2003/051120030405.html,2003,2,1,0.0,0.0,-0.11582899018193138,-0.189492007992008,-0.051201210379769185,-2.5999999999999996,10.600000000000009,3.2451647002235244,-0.012705882352941178,-2.1999999999999957,-0.046742297706805935,0.08700089101865949,-27.80000000000001,-40.0,-0.09856167765628732,23.0,17.5,21,0.14088334353949772
http://afltables.com/afl/stats/games/2003/071420030406.html,2003,2,1,0.0,1.0,-0.07541822153206784,0.02729128501257705,0.04703607829331341,7.6,11.400000000000006,-0.427867302535482,-0.03188405797101449,-3.1999999999999957,0.1250921500797948,-0.022189005507819992,-12.0,-2.799999999999997,0.05471479514765476,-28.400000000000006,-13.4,-87,-0.10019311923324514
http://afltables.com/afl/stats/games/2003/081620030405.html,2003,2,1,-0.8,0.0,-0.07937418552019582,-0.013817599026028193,-0.020074769717322694,-3.0,0.8000000000000114,3.163341683783111,-0.018787878787878784,10.600000000000001,-0.17042619189520902,-0.08853556641218052,-41.599999999999994,30.200000000000003,-0.0018265471965108748,-7.399999999999977,13.6,-135,-0.8232664276067618
http://afltables.com/afl/stats/games/2003/091220030406.html,2003,2,0,-0.39999999999999997,-1.0,0.04157520280035487,-0.09249028577201945,0.0021720862945373842,-6.4,-2.799999999999997,5.458216308820772,-0.024000000000000007,1.2000000000000028,0.009523519073367126,-0.03627950746467379,-31.599999999999994,-0.20000000000000284,-0.14542099166564365,9.400000000000006,16.1,-39,-0.29847547997489177
